Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-11-02,19:45 (20:45),League One,Matchweek 6,Tue,Away,W,3,2,Fleetwood Town,63,3246,Tendayi Darikwa,3-5-2,Ross Joyce,Match Report,
2021-11-06,15:00 (16:00),FA Cup,First round proper,Sat,Home,D,0,0,Solihull Moors,57,2843,Tendayi Darikwa,4-2-3-1,Daniel Middleton,Match Report,
2021-11-16,19:45 (20:45),FA Cup,First round proper,Tue,Away,W,2,1,Solihull Moors,66,3703,Tendayi Darikwa,4-2-3-1,Charles Breakspear,Match Report,Required Extra Time
2021-11-23,19:45 (20:45),League One,Matchweek 19,Tue,Away,D,2,2,Cambridge Utd,64,4101,Max Power,4-3-3,Declan Bourne,Match Report,
2021-11-27,15:00 (16:00),League One,Matchweek 20,Sat,Away,W,2,1,Plymouth Argyle,46,15329,Tendayi Darikwa,3-4-1-2,Andy Woolmer,Match Report,
2021-12-05,12:30 (13:30),FA Cup,Second round proper,Sun,Away,W,2,1,Colchester Utd,48,2056,Max Power,3-4-1-2,Carl Brook,Match Report,
2021-12-08,19:45 (20:45),League One,Matchweek 21,Wed,Home,W,2,1,Shrewsbury,62,8098,Tendayi Darikwa,4-2-3-1,David Rock,Match Report,
2021-12-11,15:00 (16:00),League One,Matchweek 22,Sat,Home,D,1,1,Ipswich Town,52,10296,Tendayi Darikwa,4-2-3-1,Trevor Kettle,Match Report,
2021-12-18,15:00 (16:00),League One,Matchweek 23,Sat,Away,W,3,2,Oxford United,42,8354,Tendayi Darikwa,4-2-3-1,James Bell,Match Report,
2022-01-08,15:00 (16:00),FA Cup,Third round proper,Sat,Home,W,3,2,Blackburn,52,9892,Tendayi Darikwa,3-4-3,Tim Robinson,Match Report,
2022-01-15,15:00 (16:00),League One,Matchweek 28,Sat,Away,W,2,1,Doncaster,59,7169,Tendayi Darikwa,4-2-3-1,Alan Young,Match Report,
2022-01-18,19:45 (20:45),League One,Matchweek 17,Tue,Away,W,2,1,Morecambe,56,5359,Tendayi Darikwa,4-2-3-1,Samuel Barrott,Match Report,
2022-01-22,15:00 (16:00),League One,Matchweek 29,Sat,Home,W,3,2,Gillingham,61,9359,Tendayi Darikwa,,Carl Boyeson,Match Report,
2022-01-29,15:00 (16:00),League One,Matchweek 30,Sat,Away,D,0,0,Cheltenham,52,4405,Tendayi Darikwa,4-2-3-1,Paul Howard,Match Report,
2022-02-01,19:45 (20:45),League One,Matchweek 18,Tue,Home,D,1,1,Oxford United,54,9958,Tendayi Darikwa,4-2-3-1,Andrew Kitchen,Match Report,
2022-02-05,15:00 (16:00),FA Cup,Fourth round proper,Sat,Away,L,0,2,Stoke City,52,12641,Max Power,4-2-3-1,Geoff Eltringham,Match Report,
2022-02-08,19:45 (20:45),League One,Matchweek 32,Tue,Away,L,0,1,Sheffield Weds,54,20210,Tendayi Darikwa,4-2-3-1,Tim Robinson,Match Report,
2022-02-12,15:00 (16:00),League One,Matchweek 33,Sat,Home,W,2,1,Charlton Ath,55,9657,Tendayi Darikwa,3-4-3,Tom Nield,Match Report,
2022-02-15,19:45 (20:45),League One,Matchweek 31,Tue,Home,W,2,0,Crewe Alexandra,55,8509,Tendayi Darikwa,4-2-3-1,Tom Reeves,Match Report,
2022-02-18,19:45 (20:45),League One,Matchweek 34,Fri,Away,D,1,1,Rotherham Utd,38,10588,Max Power,3-4-1-2,Jeremy Simpson,Match Report,
2022-02-22,19:45 (20:45),League One,Matchweek 35,Tue,Away,W,3,1,Wycombe,69,4826,Tendayi Darikwa,4-2-3-1,Thomas Bramall,Match Report,
2022-02-26,15:00 (16:00),League One,Matchweek 36,Sat,Home,L,0,3,Sunderland,57,20136,Tendayi Darikwa,4-2-3-1,Sam Purkiss,Match Report,
2022-03-01,19:45 (20:45),League One,Matchweek 25,Tue,Home,W,2,0,Fleetwood Town,55,8627,Tendayi Darikwa,4-2-3-1,Martin Coy,Match Report,
2022-03-05,15:00 (16:00),League One,Matchweek 37,Sat,Home,W,1,0,AFC Wimbledon,49,9780,Max Power,4-2-3-1,Oliver Langford,Match Report,
2022-03-12,15:00 (16:00),League One,Matchweek 38,Sat,Away,D,1,1,MK Dons,41,11193,Max Power,3-4-3,Robert Madley,Match Report,
2022-03-15,19:45 (20:45),League One,Matchweek 24,Tue,Away,W,2,0,Crewe Alexandra,52,5310,Tendayi Darikwa,3-4-3,Ben Toner,Match Report,
2022-03-19,15:00 (16:00),League One,Matchweek 39,Sat,Home,W,4,1,Morecambe,61,10072,Tendayi Darikwa,3-4-1-2,James Oldham,Match Report,
2022-04-02,12:30 (13:30),League One,Matchweek 41,Sat,Home,D,1,1,Bolton,41,15279,Tendayi Darikwa,3-4-3,Samuel Barrott,Match Report,
2022-04-05,19:45 (20:45),League One,Matchweek 26,Tue,Home,W,3,0,Acc'ton Stanley,53,9786,Tendayi Darikwa,3-4-3,Anthony Backhouse,Match Report,
2022-04-09,15:00 (16:00),League One,Matchweek 42,Sat,Away,W,3,1,Lincoln City,42,9498,Tendayi Darikwa,3-4-1-2,Scott Oldham,Match Report,
2022-04-12,19:45 (20:45),League One,Matchweek 40,Tue,Away,D,0,0,Burton Albion,52,3589,Tendayi Darikwa,3-4-1-2,Andy Haines,Match Report,
2022-04-16,17:15 (18:15),League One,Matchweek 43,Sat,Home,L,1,2,Cambridge Utd,68,10576,Tendayi Darikwa,4-2-3-1,Ross Joyce,Match Report,
2022-04-19,19:45 (20:45),League One,Matchweek 44,Tue,Away,D,2,2,Ipswich Town,37,21329,Tendayi Darikwa,3-4-3,Will Finnie,Match Report,
2022-04-23,15:00 (16:00),League One,Matchweek 45,Sat,Home,D,1,1,Plymouth Argyle,64,14130,Tendayi Darikwa,3-4-1-2,Seb Stockbridge,Match Report,
2022-04-26,19:45 (20:45),League One,Matchweek 27,Tue,Away,L,2,3,Portsmouth,46,14637,Tendayi Darikwa,3-4-1-2,Craig Hicks,Match Report,
2022-04-30,12:30 (13:30),League One,Matchweek 46,Sat,Away,W,3,0,Shrewsbury,57,8369,Tendayi Darikwa,3-1-4-2,Steve Martin,Match Report,
